metric_name,date,p10,p50,p90
stock,2021-10-11,743.8181152344,781.4206542969,818.2263183594
stock,2021-10-18,766.8966064453,808.9453735352,833.6702880859
stock,2021-10-25,803.3981323242,830.7103881836,866.3586425781
stock,2021-11-01,822.1792602539,850.2154541016,884.7669067383
stock,2021-11-08,824.7085571289,848.9332885742,879.6560668945
stock,2021-11-15,817.5400390625,860.6156616211,895.8647460938
stock,2021-11-22,856.4451904297,883.4624633789,916.6303100586
stock,2021-11-29,874.4819335938,896.0606079102,922.2071533203
stock,2021-12-06,869.3308105469,896.794921875,926.8202514648
stock,2021-12-13,863.4902954102,887.2878417969,914.9797363281
stock,2021-12-20,839.5483398438,869.68359375,896.8357543945
stock,2021-12-27,794.4535522461,830.0280151367,862.5363769531
stock,2022-01-03,746.6676635742,772.8275146484,797.9069213867
stock,2022-01-10,652.5079956055,674.6580810547,702.1760253906
stock,2022-01-17,669.0536499023,691.4694824219,715.6563720703
stock,2022-01-24,741.5446777344,765.5728149414,796.1643066406
stock,2022-01-31,797.2772216797,823.1293945312,846.1470947266
분기고시가,2021-10-04,859.7231445312,897.5446777344,933.3386230469
분기고시가,2021-10-11,843.2329101562,884.3374633789,937.1575927734
분기고시가,2021-10-18,821.9907226562,872.7152709961,927.7570800781
분기고시가,2021-10-25,815.5361328125,863.7803344727,919.6749267578
분기고시가,2021-11-01,809.9798583984,861.100769043,914.1478271484
분기고시가,2021-11-08,797.03515625,843.9190063477,903.983581543
분기고시가,2021-11-15,768.8422851562,840.2413330078,909.8053588867
분기고시가,2021-11-22,752.4381103516,835.3915405273,899.5950927734
분기고시가,2021-11-29,751.3698730469,816.9879760742,888.7780151367
분기고시가,2021-12-06,739.6608276367,814.7297363281,894.9827880859
분기고시가,2021-12-13,730.0430297852,809.9616088867,886.3931884766
분기고시가,2021-12-20,726.842590332,792.0774536133,907.92578125
분기고시가,2021-12-27,732.7268066406,792.3364868164,883.3049316406
분기고시가,2022-01-03,720.193359375,785.1670532227,871.7969970703
분기고시가,2022-01-10,706.7026367188,793.2346191406,879.6907958984
분기고시가,2022-01-17,693.7318115234,774.1827392578,869.5213012695
분기고시가,2022-01-24,706.6040039062,766.6752929688,861.0092773438
분기고시가,2022-01-31,684.3010253906,761.7680664062,852.9981079102
priceCN,2021-10-04,568.0253295898,581.1127319336,596.1918945312
priceCN,2021-10-11,551.1858520508,572.6748657227,598.8002929688
priceCN,2021-10-18,533.8374633789,565.8779907227,598.1829833984
