Date,Open,High,Low,Close,Adj Close,Volume
2021-02-19,715,361.0,353.0,494.0,391.0,405.0
2021-02-10,715,360.0,337.0,494.0,398.0,350.0
2021-02-05,715,369.0,336.0,494.0,398.0,350.0
2021-01-29,715,381.0,370.0,455.0,440.0,350.0
2021-01-22,715,404.0,388.0,455.0,440.0,395.0
2021-01-15,715,418.0,389.0,455.0,440.0,420.0
2021-01-08,715,408.0,389.0,455.0,440.0,430.0
2021-01-01,715,387.0,369.0,441.0,440.0,420.0
2020-12-25,685,377.0,369.0,441.0,440.0,420.0
2020-12-18,685,329.0,342.0,441.0,440.0,415.0
2020-12-11,685,312.0,312.0,441.0,306.0,400.0
2020-12-04,685,312.0,291.0,441.0,306.0,330.0
2020-11-27,685,312.0,281.0,400.0,306.0,320.0
2020-11-20,685,308.0,270.0,400.0,306.0,305.0
2020-11-13,685,303.0,257.0,400.0,306.0,305.0
2020-11-06,685,287.0,250.0,400.0,306.0,285.0
2020-10-30,685,283.0,247.0,403.0,306.0,275.0
2020-10-23,685,285.0,246.0,403.0,306.0,260.0
2020-10-16,685,289.0,246.0,403.0,306.0,260.0
2020-10-09,685,288.0,246.0,403.0,306.0,270.0
2020-10-02,685,289.0,246.0,403.0,306.0,270.0
2020-09-25,660,298.0,245.0,393.0,282.0,270.0
2020-09-18,660,301.0,237.0,393.0,282.0,280.0
2020-09-11,660,306.0,232.0,393.0,282.0,280.0
2020-09-04,660,308.0,231.0,393.0,282.0,270.0
2020-08-28,660,294.0,225.0,381.0,282.0,270.0
2020-08-21,660,293.0,212.0,381.0,282.0,270.0
2020-08-14,660,272.0,209.0,381.0,282.0,250.0
2020-08-07,660,260.0,206.0,381.0,282.0,250.0
2020-07-31,660,259.0,206.0,368.0,282.0,250.0
2020-07-24,660,260.0,205.0,368.0,282.0,240.0
2020-07-17,660,265.0,205.0,368.0,282.0,230.0
2020-07-10,660,276.0,207.0,368.0,282.0,225.0
2020-07-03,660,286.0,225.0,368.0,282.0,230.0
2020-06-26,663,296.0,231.0,355.0,282.0,250.0
2020-06-19,663,296.0,225.0,355.0,282.0,255.0
