weightA_p50,scrap_gap_50,weightA_p90,scrap_gap_90,weightA_p10,scrap_gap_10
329000.0,666949.0083333333,329000.0,666949.0083333333,329000.0,666949.0083333333
328000.0,645000.0,328000.0,645000.0,328000.0,645000.0
319000.0,645000.0,319000.0,645000.0,319000.0,645000.0
310000.0,645000.0,310000.0,645000.0,310000.0,645000.0
308000.0,708014.1602564103,308000.0,708014.1602564103,308000.0,708014.1602564103
302000.0,708014.1602564103,302000.0,708014.1602564103,302000.0,708014.1602564103
301000.0,708014.1602564103,301000.0,708014.1602564103,301000.0,708014.1602564103
319000.0,708014.1602564103,319000.0,708014.1602564103,319000.0,708014.1602564103
328000.0,704850.3248397436,328000.0,704850.3248397436,328000.0,704850.3248397436
341000.0,704850.3248397436,341000.0,704850.3248397436,341000.0,704850.3248397436
346000.0,704850.3248397436,346000.0,704850.3248397436,346000.0,704850.3248397436
348000.0,704850.3248397436,348000.0,704850.3248397436,348000.0,704850.3248397436
348000.0,704850.3248397436,348000.0,704850.3248397436,348000.0,704850.3248397436
349000.0,683600.785576923,349000.0,683600.785576923,349000.0,683600.785576923
354000.0,683600.785576923,354000.0,683600.785576923,354000.0,683600.785576923
361000.0,683600.785576923,361000.0,683600.785576923,361000.0,683600.785576923
356000.0,683600.785576923,356000.0,683600.785576923,356000.0,683600.785576923
345000.0,741191.3125,345000.0,741191.3125,345000.0,741191.3125
337000.0,741191.3125,337000.0,741191.3125,337000.0,741191.3125
330000.0,741191.3125,330000.0,741191.3125,330000.0,741191.3125
329000.0,741191.3125,329000.0,741191.3125,329000.0,741191.3125
327000.0,733219.0625,327000.0,733219.0625,327000.0,733219.0625
330000.0,733219.0625,330000.0,733219.0625,330000.0,733219.0625
341000.0,733219.0625,341000.0,733219.0625,341000.0,733219.0625
357000.0,733219.0625,357000.0,733219.0625,357000.0,733219.0625
359000.0,733219.0625,359000.0,733219.0625,359000.0,733219.0625
354000.0,733559.389423077,354000.0,733559.389423077,354000.0,733559.389423077
348000.0,733559.389423077,348000.0,733559.389423077,348000.0,733559.389423077
336000.0,733559.389423077,336000.0,733559.389423077,336000.0,733559.389423077
320000.0,733559.389423077,320000.0,733559.389423077,320000.0,733559.389423077
313000.0,717457.9980769231,313000.0,717457.9980769231,313000.0,717457.9980769231
305000.0,717457.9980769231,305000.0,717457.9980769231,305000.0,717457.9980769231
307000.0,717457.9980769231,307000.0,717457.9980769231,307000.0,717457.9980769231
317000.0,717457.9980769231,317000.0,717457.9980769231,317000.0,717457.9980769231
331000.0,707912.7168269231,331000.0,707912.7168269231,331000.0,707912.7168269231
330000.0,707912.7168269231,330000.0,707912.7168269231,330000.0,707912.7168269231
326000.0,707912.7168269231,326000.0,707912.7168269231,326000.0,707912.7168269231
319000.0,707912.7168269231,319000.0,707912.7168269231,319000.0,707912.7168269231
319000.0,707912.7168269231,319000.0,707912.7168269231,319000.0,707912.7168269231
327000.0,708473.3607692306,327000.0,708473.3607692306,327000.0,708473.3607692306
340000.0,708473.3607692306,340000.0,708473.3607692306,340000.0,708473.3607692306
333000.0,708473.3607692306,333000.0,708473.3607692306,333000.0,708473.3607692306
337000.0,708473.3607692306,337000.0,708473.3607692306,337000.0,708473.3607692306
341000.0,721029.6498076924,341000.0,721029.6498076924,341000.0,721029.6498076924
353000.0,721029.6498076924,353000.0,721029.6498076924,353000.0,721029.6498076924
359000.0,721029.6498076924,359000.0,721029.6498076924,359000.0,721029.6498076924
363000.0,721029.6498076924,363000.0,721029.6498076924,363000.0,721029.6498076924
362000.0,721029.6498076924,362000.0,721029.6498076924,362000.0,721029.6498076924
362000.0,730090.5860576923,362000.0,730090.5860576923,362000.0,730090.5860576923
361000.0,730090.5860576923,361000.0,730090.5860576923,361000.0,730090.5860576923
