date,분기고시가,weightA,priceUSA_TAIWAN,priceJP,priceCN,importPriceUSA,importPriceJP,stock
2018-04-20,725,336,330,317,381.9,370,330,1093
2018-04-13,725,348,350,328,381.9,350,335,1059
2018-04-06,725,354,355,343,379.2,350,350,997
2018-03-30,715,359,355,353,379.2,350,360,931
2018-03-23,715,357,370,352,379.2,350,370,922
2018-03-16,715,341,365,349,379.2,350,370,924
2018-03-09,715,330,350,346,379.2,350,370,1003
2018-03-02,715,327,336,343,379.2,350,365,1071
2018-02-23,715,329,325,343,392.7,350,340,1050
2018-02-16,715,330,325,343,392.7,350,340,1051
2018-02-09,715,337,325,353,392.7,350,345,1026
2018-02-02,715,345,340,359,392.7,350,355,998
2018-01-26,715,356,352.5,360,374,350,365,962
2018-01-19,715,361,357,348,374,350,370,899
2018-01-12,715,354,350,343,374,350,360,907
2018-01-05,715,349,345,342,305.5,350,360,927
2017-12-29,685,348,340,342,305.5,350,360,957
2017-12-22,685,348,330,342,305.5,350,360,936
2017-12-15,685,346,325,339,305.5,350,355,934
2017-12-08,685,341,309,333,305.5,350,350,953
2017-12-01,685,328,309,332,277.1,347,340,941
2017-11-24,685,319,305,323,277.1,325,335,987
2017-11-17,685,301,303,313,277.1,325,330,1033
2017-11-10,685,302,298,303,277.1,325,315,1030
2017-11-03,685,308,287,295,277.1,322,310,981
2017-10-27,685,310,281,295,275.8,322,305,942
2017-10-20,685,319,275,295,275.8,322,305,897
2017-10-13,685,328,275,296,274.8,322,305,800
2017-09-29,645,329,290,308,275.7,351,315,747
2017-09-22,645,326,295,303,275.7,351,325,733
2017-09-15,645,316,293,297,275.7,351,325,762
2017-09-08,645,303,294,297,275.7,351,325,783
2017-09-01,645,302,297,297,264.6,337,325,769
2017-08-25,645,300,297,287,264.6,337,335,728
2017-08-18,645,288,290,269,264.6,337,325,724
2017-08-11,645,273,280,263,264.6,282,310,767
2017-08-04,645,258,275,260,264.6,282,295,878
2017-07-28,645,254,270,256,226.2,282,295,915
2017-07-21,645,253,263,254,226.2,282,285,961
2017-07-14,645,257,258,242,226.2,282,265,941
2017-07-07,645,261,253,242,226.2,282,265,913
2017-06-30,635,261,249,242,221.1,280,260,939
2017-06-23,635,250,250,239,221.1,280,264,977
2017-06-16,635,240,248,230,221.1,280,260,1043
2017-06-09,635,239,242,229,221,280,240,1096
2017-06-02,635,239,238,229,221,280,240,1141
2017-05-26,635,246,238,227,241.6,280,250,1125
2017-05-19,635,250,238,229,241.6,280,240,1127
2017-05-12,635,254,232,230,241.6,280,240,1132
2017-04-28,635,260,235,262,259.5,280,255,1117
2017-04-21,635,263,250,272,259.5,280,265,1181
2017-04-14,635,264,255,277,259.5,280,270,1205
2017-04-07,635,271,260,279,259.5,280,270,1194
2017-03-31,620,277,270,284,258.9,280,280,1117
2017-03-24,620,284,278,284,258.9,280,290,1110
2017-03-17,620,278,281,279,258.9,279,305,1065
2017-03-10,620,263,276,264,258.9,279,305,1005
2017-03-03,620,252,269,252,258.9,279,290,1085
2017-02-24,620,252,251,245,253.7,279,285,1141
2017-02-17,620,255,245,247,253.7,279,265,1055
2017-02-10,620,256,237,248,253.7,279,255,1064
2017-02-03,620,264,244,253,253.7,279,245,1007
2017-01-27,620,270,255,255,253.4,279,250,1019
2017-01-20,620,270,251,256,253.4,279,270,944
2017-01-13,620,280,251,257,253.4,279,280,846
2017-01-06,620,295,253,254,253.4,283,280,869
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,525,,,,,,,
,525,,,,,,,
,525,,,,,,,
,525,,,,,,,
,525,,,,,,,
,525,,,,,,,
,525,,,,,,,
,525,,,,,,,
,525,,,,,,,
,525,,,,,,,
,525,,,,,,,
,525,,,,,,,
,525,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,585,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,600,,,,,,,
,645,,,,,,,
,645,,,,,,,
,645,,,,,,,
,645,,,,,,,
,645,,,,,,,
,645,,,,,,,
,645,,,,,,,
,645,,,,,,,
,645,,,,,,,
,645,,,,,,,
,645,,,,,,,
,645,,,,,,,
,645,,,,,,,
